cidr,status,hits,samples,sampled_ips
111.61.127.0/24,high,5,5,111.61.127.247|111.61.127.46|111.61.127.190|111.61.127.118|111.61.127.82
111.61.128.0/24,high,5,5,111.61.128.211|111.61.128.50|111.61.128.148|111.61.128.106|111.61.128.214
111.61.129.0/24,high,5,5,111.61.129.113|111.61.129.243|111.61.129.79|111.61.129.140|111.61.129.30
111.61.130.0/24,high,5,5,111.61.130.161|111.61.130.47|111.61.130.252|111.61.130.88|111.61.130.163
111.61.131.0/24,high,5,5,111.61.131.84|111.61.131.166|111.61.131.30|111.61.131.165|111.61.131.232
111.61.132.0/24,high,5,5,111.61.132.83|111.61.132.7|111.61.132.11|111.61.132.105|111.61.132.19
111.61.134.0/24,high,5,5,111.61.134.69|111.61.134.92|111.61.134.18|111.61.134.83|111.61.134.244
111.61.135.0/24,high,5,5,111.61.135.161|111.61.135.122|111.61.135.123|111.61.135.6|111.61.135.50
111.61.136.0/24,high,5,5,111.61.136.210|111.61.136.30|111.61.136.136|111.61.136.154|111.61.136.8
111.61.137.0/24,high,5,5,111.61.137.44|111.61.137.171|111.61.137.33|111.61.137.56|111.61.137.164
111.61.138.0/24,high,5,5,111.61.138.192|111.61.138.124|111.61.138.77|111.61.138.184|111.61.138.176
111.61.139.0/24,high,5,5,111.61.139.59|111.61.139.54|111.61.139.85|111.61.139.27|111.61.139.118
111.61.140.0/24,high,5,5,111.61.140.2|111.61.140.244|111.61.140.116|111.61.140.19|111.61.140.79
111.61.141.0/24,high,5,5,111.61.141.29|111.61.141.96|111.61.141.254|111.61.141.125|111.61.141.25
111.61.142.0/24,high,5,5,111.61.142.221|111.61.142.208|111.61.142.231|111.61.142.196|111.61.142.25
111.61.143.0/24,high,5,5,111.61.143.87|111.61.143.53|111.61.143.37|111.61.143.123|111.61.143.218
111.61.144.0/24,high,5,5,111.61.144.60|111.61.144.226|111.61.144.132|111.61.144.77|111.61.144.174
111.61.145.0/24,high,5,5,111.61.145.215|111.61.145.180|111.61.145.63|111.61.145.138|111.61.145.141
111.61.147.0/24,high,5,5,111.61.147.248|111.61.147.213|111.61.147.224|111.61.147.221|111.61.147.64
111.61.148.0/24,high,5,5,111.61.148.231|111.61.148.95|111.61.148.158|111.61.148.147|111.61.148.30
111.61.150.0/24,high,5,5,111.61.150.240|111.61.150.135|111.61.150.89|111.61.150.218|111.61.150.169
111.61.151.0/24,high,5,5,111.61.151.25|111.61.151.240|111.61.151.17|111.61.151.25|111.61.151.152
111.61.153.0/24,high,5,5,111.61.153.124|111.61.153.165|111.61.153.129|111.61.153.131|111.61.153.181
111.61.154.0/24,high,5,5,111.61.154.14|111.61.154.42|111.61.154.78|111.61.154.250|111.61.154.221
